"Date","Headline","Place","Name","Story"
"9/20/2012","ALLAN A. GREENLEAF SCHOOL","Allan A. Greenleaf Elementary is at 211 Parkside Dr. in Waterdown.","Greenleaf was a longtime public school board director who died in a car accident in May 1998.","Greenleaf is remembered as having set the tone for education in Wentworth and Hamilton for more than two decades. The 57-year-old was director of the Wentworth Board of Education for 19 years before taking on the director position with the newly amalgamated Hamilton-Wentworth District School Board in January 1998."
"6/13/2013","AMISFIELD","118 James St. S.","Amisfield was modelled after Sir Walter Scott's country house of the same name on the Tweed River in Scotland.","It was built in 1840 and known as The Castle until 1887, when its name was changed to Amisfield. It was included in Ron Brown's 2001 book, Castles & Kings, and listed as one of Hamilton's seven notable castles. But Brown described it as a ""disgrace"" because of the encroachment of urban sprawl and the castle being haphazardly repurposed over the years."
"1/23/2013","ANDREW WARBURTON MEMORIAL PARK","Andrew Warburton Memorial Park is located at 199 Tragina Ave. N., near Britannia Avenue and Kenilworth Avenue North.","Andrew, a 9-year-old from Hamilton, died in 1986 of exposure after he became lost in thick forest near the home of relatives about 20 kilometres north of Halifax.","The search for Andrew began July 1 after he was reported missing and concluded July 8 when Canadian Forces personnel found the boy's body. At the peak of the search, nearly 1,000 volunteers scoured the mosquito-infested woods."
"10/15/2012","Auchmar Road","Auchmar Road is a residential street that curves between Fennell Avenue and Garth Street on the Mountain brow.","Auchmar is the name of the nearby summer estate of Sir Isaac Buchanan (1810-1883), a politician, businessman and militia officer who in the 1860s formed the 13th Battalion, the predecessor of the Royal Hamilton Light Infantry.","Auchmar was built by Buchanan between 1852 and 1854. After a developer came up with a plan to demolish the mansion in 1999, the City of Hamilton took over the decaying building and is exploring options for its future use."
"10/25/2012","AUGUSTUS JONES FOUNTAIN","The Augustus Jones Fountain is at King Street and New Mountain Road in Stoney Creek.","Augustus Jones (1757-1836) was an Upper Canadian farmer, land speculator, magistrate and militia captain but was best known as a surveyor who lived in Saltfleet for several years.","Jones studied surveying in New York City before fleeing to Upper Canada as a United Empire Loyalist. He became a Crown surveyor and was responsible for most of the township boundaries in the Niagara area and along the northern shoreline of Lake Ontario. His work also extended to concession roads and early side roads."
"1/9/2013","BALFOUR DRIVE","Balfour Drive runs off Scenic Drive on Hamilton's west Mountain.","The Balfour family once lived in a mansion called Chedoke House, off what is now Balfour Drive.","In 1909, William Southam, owner of Southam Publishing (which included The Hamilton Spectator), bought Chedoke House for his daughter, Ethel May and new husband St. Clair Balfour II, according to local historian Margaret Houghton. In the 1970s the property was sold, making way for a small survey of houses. Chedoke House was passed on to the Ontario Heritage Foundation and the City of Hamilton."
"7/6/2013","BALFOUR NEIGHBOURHOOD","The neighbourhood is between Fennell, Mohawk, Upper Wellington and Upper James.","It was either named after James Balfour (1854 to 1917) who was an architect who designed many prominent buildings including the former City Hall on James Street in 1888, or the Balfour family that once lived in a mansion called Chedoke House, off what is now Balfour Drive.","A city planning department document about neighbourhood names does not give the origin of the name of the Balfour neighbourhood. Through various sources online both Balfours above are cited."
"5/9/2013","BALLINAHINCH","Ballinahinch is a former mansion turned into condominiums at 316 James St. S.","The neogothic structure, built by Toronto architect William Thomas between 1849 and 1850, is named for a castle in Connemara, Ireland.","Ballinahinch was once owned by W.J. Southam, publisher and editor of The Hamilton Spectator from 1877 to 1919. It was used as a hospital in 1918 and 1919 during the Spanish flu epidemic. And during the mid-1940s, the infamous convicted killer Evelyn Dick kept an apartment there to entertain male companions."
"4/19/2013","BARTOK ROAD","Bartok Road runs between Maderna and Sovereign roads in the area of Guelph Line and Upper Middle Road in Burlington.","The road is named for the great Hungarian composer Bela Bartok (1881 to 1945).","According to the book Burlington's Street Names by the Burlington Historical Society, the road was named after Bartok in 1986 when the area opened to residential development. Bartok, who also wrote two ballets and an opera also collected folk music in the hinterland of Hungary in the early 20th century. He went to the United States in 1940 and died of complications of leukemia in New York City five years later."
"5/7/2013","Barton Street","Barton Street runs between Fifty Road and Locke Street.","Hamilton was known as Barton in the early 19th century - named after a township in Lincoln County, England. It bordered on Saltfleet Township to the east, and Ancaster Township to the west.","As Hamilton developed, Barton began, inevitably, to shrink. The city annexed the township below the escarpment in 1947, and in 1960, it annexed the remaining 3,200 hectares on the Mountain. Today, Barton Street retains the name of one of the city's earliest townships."
"6/24/2013","Bavaront Place","Bavaront Place is in Burlington, north-east of Guelph Line and the North Service Road.","The street was named by engineer George Schneider in 1949, when he built a home in Halton Place, a new subdivision. He originally used Bavaront to name his house - which then carried onto the street.","Bavaront is a combination of the two birthplaces of Schneider and his wife, Jaqueline, according to the book Burlington's Streets. He was born in Bavaria; his wife in Ontario."
"5/3/2013","BEAMER MEMORIAL CONSERVATION AREA","The conservation area is at 28 Quarry Rd., Grimsby.","John Beamer (1759 to 1854) owned 120 hectares in the area in the late 1700s. He built a dam just above a waterfall - known today as Beamer Falls - to power his sawmill and grist mill.","One of the best known uses of the conservation area is the annual Hawkwatch, which takes place from March 1 to May 15. Volunteer bird watchers keep track of hawks migrating overhead and compare results from year to year."
"6/11/2013","BEAVER STREET","Beaver Street is in Burlington and runs between Lakeshore Road and Pepper Drive, just west of Guelph Line.","It is believed to have been named for the animal that has become a symbol of Canada and still builds dams in the region.","The book Burlington’s Streets says the street was named to honour the beaver, which has long been associated with the Hudson Bay Company (appeared on its coat of arms in 1678), has appeared on the nickel, on stamps and was part of the logo for CP Rail. The book notes the 1869 map of Port Nelson shows the street. In 1975, Parliament voted to designate the beaver as Canada’s national animal. The act was introduced by Hamilton-Wentworth Tory MP Sean O’Sullivan."
"4/5/2013","BECKETT DRIVE","Beckett Drive runs up the escarpment above Queen Street.","The Beckett family owned a large farm on the east side of Garth Street over an area now called Buchanan Park Survey.","Beckett Drive was conceived more than a century ago by F.G. Beckett as a scenic route from the lower city to the Mountain. The horse-and-buggy roadway he built up the escarpment in 1894 now sees more than 20,000 automobiles per day."
"8/7/2013","BEDDOE GOLF COURSE","The Beddoe is one of two courses at the city-owned Chedoke golf facility on Aberdeen Avenue. The Martin is the other one.","Harold Stewart Beddoe (1891 to 1969) was president of United-Carr Fastener Company in Hamilton, and president of the Chedoke Civic Golf Course from 1944 to 1953.","The Beddoe was the second course built at Chedoke after additional land west of the original site was purchased in the late '20s. In the early '60s, part of that land was expropriated for Highway 403 (called the Chedoke Expressway in that section) and this prompted a major redesign of the course."
"8/30/2013","BEGUE STREET","A dead-end street running off Creighton Road in Dundas.","Alexis Fidele Begue, a nephew of Peter Desjardins (the man for whom the Desjardins Canal was named), came to Dundas in 1833 and worked for Desjardins Canal Company, among other things, before becoming mayor for one year in 1858.","The primary reason for Begue's arrival in Dundas was his Uncle Peter's estate, which was in a ""perilous state, "" according to the book Hamilton Street Names, edited by Margaret Houghton. Desjardins died without a will, and Begue had difficulty because he was a French citizen without rights in pre-Confederation Canada. Eventually, a bill was passed to help the Desjardins heirs."
"8/16/2013","Bellwood Avenue","Bellwood Avenue is in Burlington and runs between Emerald Street in the west and Wellington Avenue in the east.","The street is named for the Bell family, which operated an orchard in the area.","According to the Burlington Historical Society, Fred Bell was a shoemaker on Brant Street, who bought the land in 1875 and became a farmer. He lived there with his two brothers and two sisters and operated Bell Orchards. The orchard eventually passed to his nephew Robert Allen, and then to his son, John Allen. The street was named for the family when homes were built on the property in the late 1940s. It is not far from downtown Burlington and is in the Brant neighbourhood."
"12/26/2012","Bennetto Elementary School","Bennetto is a public elementary school on Simcoe Street East at Hughson.","Originally the Picton Street School, Bennetto was renamed in 1921 in honour of Susan E. Bennetto - a teacher for 50 years and the school's principal for 30.","Bennetto has undergone several structural and location changes since it first opened its doors in 1889, on the northeast corner of Catharine and Picton streets. The school was rebuilt on John Street in 1963, following a devastating fire. It was relocated to the former Centennial School - its current location - a decade ago."
"2/14/2013","BENNETTO SCHOOL","Bennetto School, at 47 Simcoe St. E., is part of the Hamilton-Wentworth District School Board.","Susan Bennetto (1850 to 1919) was a highly respected educator in Hamilton.","Bennetto taught for more than half a century in Hamilton, with 30 of those years as principal at Picton Street School at the corner of Catharine and Picton streets. When she died, the school's name was changed to Bennetto. That school was closed in 2002, but her name continues at the more recently built school at 47 Simcoe Street East."
"11/24/2012","BERNIE ARBOUR STADIUM","Bernie Arbour Memorial Stadium was built in 1970 on Upper Kenilworth Avenue in Hamilton and is used primarily for baseball.","Bernie Arbour was a Hamilton police sergeant and director of Hamilton youth baseball from 1948 until his death from cancer in 1967 at the age of 46.","Arbour was a Second World War veteran before he joined the Hamilton police in 1947. When Bernie Arbour Stadium opened, son Brian threw the first ball and was involved in coaching at the stadium for years after."
"3/18/2013","BERRYMAN COURT","Berryman Court in Burlington is off Headon Forest Drive, just north of Upper Middle Road and east of Guelph Line.","The street is named for Lloyd Berryman, who was on Burlington council and served as mayor in 1966 and 1967 - Canada’s Centennial Year.","Berryman was born in Hamilton in 1921 and served as an RCAF fighter pilot during the Second World War. He earned the Distinguished Flying Cross in 1944 for shooting down three enemy aircraft with his Spitfire in one day and, in 2007, was one of 50 Canadians given France’s highest decoration, the Legion of Honour. He flew 135 missions. Berryman moved to Burlington in 1950 and served as a town councillor from 1964 to 1965 before being elected mayor. He argued unsuccessfully that Burlington should be part of the then-Region of Hamilton-Wentworth. Berryman died in April 2012 at the age of 90."
"10/17/2012","BERTRAM BROCKHOUSE PARK","Bertram N. Brockhouse Park is a small piece of green space on Fiddler's Green Road in Ancaster.","Bertram N. Brockhouse (1918 to 2003) was a McMaster University physicist who was awarded a Nobel Prize in physics in 1994 (he shared it that year with another researcher, Clifford Shull).","Brockhouse was awarded the Nobel for his ""pioneering contributions to the development of neutron scattering techniques."" He used neutrons produced in a nuclear reactor to explore the inner configuration of molecules. The technique allowed scientists to examine the atomic structure of matter in great detail."
"12/10/2012","BIGGAR AVENUE","Biggar Avenue runs between Sherman Avenue North and Lottridge Street.","Sanford Biggar (1881-1920) was a lawyer and served as mayor of Hamilton from 1905 to 1906.","Biggar was in the mayor's chair during the bitter Hamilton Street Railway Strike. When violence erupted, he ended up reading the Riot Act on the nights of Nov. 23 and 24, 1906. It was one of the few times in the city's history that the Act was read and enforced to restore public order."
"9/17/2012","Bill Foley Parkette","Mountain Brow Boulevard at Rendell Boulevard, just west of Upper Ottawa Street.","William (Bill) Joseph Foley (1924-1985) was a Hamilton politician in the 1960s and labour leader","Foley, who he grew up in the lower city and moved to the Mountain in 1960, began his trade union work at Mercury Mills textiles in Hamilton. He served as head of the Hamilton District Labour Council and was secretary-treasurer of the United Textile Workers of America in 1978, becoming the highest-ranking Canadian in an international union at the time. The parkette, featuring a walkway and benches, is one of four opened by the city along the escarpment and was named in honour of Bill Foley in 1987."
"2/11/2013","BILL STURRUP MEDIA AND COMMUNITY ROOM","The Bill Sturrup Media and Community Room is in the Central Police Station at 155 King William St.","Bill Sturrup was a broadcaster in Hamilton for more than 45 years who died in 2007 at the age of 68.","Sturrup worked at 900 CHML as a reporter but was well known for covering sports. He also regularly worked as a public address announcer at professional and amateur sporting events in Hamilton that included Hamilton Bulldogs, Hamilton Cardinals and Hamilton Tiger-Cats games."
"9/27/2012","BILLY GREEN ELEMENTARY SCHOOL","Billy Green Elementary School, at 1105 Paramount Dr. in Stoney Creek, opened in 1981.","Billy Green (1794-1877) is remembered as a hero from the Battle of Stoney Creek in 1813.","During the War of 1812, Green is reputed to have tipped off the British about an American encampment in Stoney Creek and then led them to the site. This allowed the British to make a successful surprise attack in the early hours of June 6, 1813 during the famous battle. However, more recently, a book by former Spectator reporter James Elliott, Strange Fatality, questioned the story, saying it was undoubtedly a tall tale inspired by the exploits of Laura Secord or Paul Revere."
"12/13/2012","BILLY SHERRING PARK","Billy Sherring Park, 1530 Upper Sherman Ave.","Billy Sherring (1877 to 1964), of Hamilton, was one of Canada's greatest marathon runners.","He won Hamilton's Around the Bay Road Race twice and raced to an Olympic gold medal in Athens on May 1, 1906, beating more than 50 other runners in the 42-kilometre marathon."
"2/16/2013","BINKLEY ROAD","Binkley Road runs between Sanders Boulevard and Main Street West.","The Binkley family came to the area in the 1790s and became major landowners in Hamilton's west end.","Different Binkley family members owned most of the land along Main Street West and Osler Drive, between Dundas and property that would later become McMaster University, according to local historian Margaret Houghton. The name Binkley is a popular one in the area. It was used to name a pond and a hollow. There is the Binkley United Church and the Binkley Cemetery."
"10/6/2012","BISHOP RYAN HIGH SCHOOL","Bishop Ryan High School, at 50 Albright Rd. in the east end of Hamilton.","Bishop Joseph Francis Ryan (1897 to 1990) was bishop in Hamilton for 36 years.","Bishop Ryan High School officially opened in 1959 on Queenston Road. It was named after Bishop Ryan, in recognition of his long service as bishop (from 1937 to 1973) and for his strong support of Catholic education in Ontario. Later the school moved to Albright Road and the site was declared surplus in May. Now a $36-million replacement school at Rymal Road East and Dakota Boulevard is set to carry the Bishop Ryan name into the future when it opens in 2013."
"10/23/2012","BISHOP TONNOS SENIORS APARTMENTS","The 84-unit Bishop Tonnos apartment building for seniors is part of the newly opened Good Shepherd Square on King Street West between Pearl and Ray streets.","The Most Reverend Anthony Tonnos was Hamilton’s bishop from 1984 to 2010.","Tonnos was born and raised in Port Colborne. He was ordained as Hamilton’s auxiliary bishop in 1983, and became its bishop the following year. He served for 26 years as leader of the local Catholic community until retiring at age 75, as is customary for bishops. He was succeeded by Douglas Crosby."
"1/11/2013","Bobby Kerr Park","Bobby Kerr Park is at 100 Reno Ave. on the east Mountain.","Bobby Kerr (1882 to 1963) was a world class sprinter who lived in Hamilton.","Kerr was born in what is present-day Northern Ireland and immigrated to Canada as a boy. His family moved to Hamilton, where he established himself as a phenomenal sprinter. At the 1908 Olympics, Kerr was awarded two medals: a gold and a bronze."
"5/16/2013","BOOK ROAD","Book Road runs between Trinity Road past Southcote Road, extending to the Glancaster Golf Course.","The road is named after John Book (1754 to 1827) and his family, who settled in Ancaster in 1789.","Book was born in Germany but moved to New Jersey. After the American Revolution he migrated to Ancaster, where his family later received a Crown land grant. The family has numerous descendants. By the 1830s, the Book property included a family cemetery, John Book’s house and what became known as the Adam Book House."
"10/20/2012","BRIAN TIMMIS STADIUM","Brian Timmis Stadium is on Cannon Street next to Ivor Wynne Stadium.","Brian Timmis (1899 to 1971) was a Canadian Football League star in the 1920s and '30s.","Timmis played mostly with the Hamilton Tigers and the Ottawa Rough Riders in an era when players served on both the offensive and defensive teams. He later coached the Hamilton Flying Wildcats and was inducted into the Canadian Football Hall of Fame and Canada's Sports Hall of Fame. The Tigers and Wildcats merged in 1950 to become the Hamilton Tiger-Cats."
"1/24/2013","BRUCE DUNCAN MEMORIAL LECTURE SERIES","The Bruce Duncan Memorial Lecture Series tackles ecological and environmental topics by various speakers and is hosted by the Giant's Rib Discovery Centre.","Duncan (1946-2006) was general manager and chief administrative officer of the Hamilton Conservation Authority. He died in a head-on automobile collision in November 2006.","Duncan was a naturalist and teacher whose work with the conservation authority, the Hamilton Naturalists' Club and the Niagara Peninsula Hawkwatch was passionate and tireless. "
"8/22/2013","BRUCE PARK","145 Brucedale Ave. E. on Hamilton Mountain.","The park is named after William Bruce (1833-1927), a local businessman, teacher, astronomer and justice of the peace, among other things.","Bruce bought the land, where the park is now, in 1869, building a home as well as an observatory there. After he died, he gave the property to the city to turn it into a public park, according to a Hamilton Public Library online digital project. Bruce's son, William Blair Bruce, was a famous painter who died in 1906, and the property has a plaque honouring him."
"9/24/2012","BRUCEDALE AVENUE","Brucedale Avenue on the Mountain runs between High Street and West 5th Street.","William Bruce was an early settler to Hamilton who worked as an educator, a patent office employee and a justice of the peace. He had an avid interest in astronomy and watercolour painting.","After a son died of tuberculosis, Bruce and his family moved to Hamilton Mountain in 1860 because of the cleaner air. He built a large house at what became known as Brucedale Avenue. According to the book Hamilton Street Names by Margaret Houghton, the street was called ""Brucedale"" instead of ""Bruce"" because there was already a Bruce Street in the lower city."
"6/15/2013","BRULEVILLE NEIGHBOURHOOD","Bruleville Neighbourhood on the Mountain is bounded by Mohawk Road, the Linc, Upper Wentworth and Upper Wellington streets.","Étienne Brûlé (1592 to 1643) was a French explorer in North America.","He was the first European to sail beyond the St. Lawrence River into the Great Lakes and farther afield. He lived with First Nations people and adopted their customs and way of life. He became a guide and interpreter for Samuel de Champlain."
"4/2/2013","Buchanan Park School","Buchanan Park School is at 30 Laurier Ave., next to a sports park of the same name.","Sir Isaac Buchanan was a well-known, 19th-century merchant and politician.","The school and park were named after Buchanan, who in the 1850s built the celebrated Auchmar house on a Mountain property now at the intersection of West 5th and Fennell Avenue. He also established the 13th Battalion of the militia, later renamed the Royal Hamilton Light Infantry."
"10/5/2012","BUCHANAN STREET","Buchanan Street runs between Inverness and Churchill avenues on the Mountain.","Isaac Buchanan (1810 to 1883) was a businessman and militia officer who formed the 13th battalion in the 1860s that became the Royal Hamilton Light Infantry. The Rileys, as they're now known, are celebrating their 150th anniversary.","Buchanan was born in Scotland and moved to Toronto in his early 20s. He relocated to Hamilton, where he found success with his Isaac Buchanan and Co., a wholesale dry goods distributor, for a time. He is remembered for his Auchmar estate on the Mountain, now owned by the City of Hamilton."
"2/7/2013","Bull's Lane","Bull's Lane runs off Rosedene Avenue near the Claremont Access on the brow of the Mountain.","Canon George Armstrong Bull (1828-1909) was an Anglican minister and son of George Perkins Bull, the founder of the Gazette newspaper in Hamilton that later joined with The Spectator in 1850.","Bull built a large house he called The Cliff on property near Bull's Lane inherited from his father. He had quite an interest in history, and according to Hamilton local history author Margaret Houghton, Bull is credited with discovering the original photograph of Laura Secord."
"12/15/2012","Bullock's Corners","Located at the intersection of Highway 8 and Brock Road, between Dundas and Greensville, in the former Town of Flamborough. It is also spelled without the apostrophe.","It is named for the family of William Bullock, who came to Hamilton in 1833.","The family became involved in various parts of the area's development. William Bullock opened a tavern called the British Hotel in 1837 which served people travelling by stagecoach between Dundas and Guelph. The tavern became the centre of the community, with a general store and a blacksmith opening before 1840. Bullock served on West Flamborough Township council from 1852-1855."
"11/28/2012","BURKHOLDER DRIVE","Burkholder Drive is on the east Mountain, running between Upper Sherman and East 25th Street.","Jacob Burkholder (1747 to 1813) and his wife Sophia de Roche were Pennsylvania Dutch settlers on the Mountain.","After living in Pennsylvania, the family - reportedly carrying apple and other seeds to use at their new home - made the long trek to Canada in the 1790s. They crossed the Niagara River and eventually ended up on Hamilton Mountain. A church, school, cemetery and park are also named for the Burkholders."
"4/8/2013","Burloak Drive","Burloak Drive heads north and south off the Queen Elizabeth Way, between Appleby Line in Burlington and Bronte Road in Oakville.","A hybrid of Burlington and Oakville that marks the boundary between the cities.","The road was originally called the Town Line, but that was considered too confusing. In 1966, it was changed to more literally reflect where Burlington and Oakville meet."
"10/27/2012","CAPTAIN CORNELIUS PARK","Captain Cornelius Park is at 180 Limeridge Rd. W.","Captain John Richard Cornelius, who died in 1964, was a well-known physical education instructor at Hamilton Collegiate Institute for four decades.","Cornelius was credited with major successes in sports at HCI, and is also viewed as a major, sometimes controversial figure ushering in a golden era of amateur sports in Hamilton."
"7/11/2013","CARRUTHERS LANE","This street is in Flamborough and runs north-south from old Highway 8 to a dead end just beside the present Highway 8. It also runs alongside the former Beverly Township Hall in Rockton.","It was named for the Carruthers family.","The book Hamilton Street Names says the Carruthers family had 100 acres of property near Rockton. The main entrance to the property is from the Concession 4 Road, but the back laneway was a shortcut for the family to get into Rockton."
"11/14/2012","CASE STREET","Case Street runs between Lottridge Street and Sherman Avenue North.","Dr. William Case (1776 to 1848) was Hamilton's first doctor.","Case was born in New Hampshire and moved to Canada after the American Revolution. He had a farm close to where King Street and Lottridge are now, near to present-day Case Street. His house was taken over as a field hospital after the Battle of Stoney Creek in 1813. It's said he attended to wounded soldiers from both sides of the conflict during the War of 1812."
"3/2/2013","CAVELL AVENUE","Cavell Avenue crosses Barton Street East, running from Linden Street to Primrose Avenue.","Edith Louisa Cavell (1865-1915) of Norfolk, England, was a nurse and First World War hero. While working in Belgium, she got involved in the underground after the country was invaded by the Germans. She was courtmartialed and executed in 1915.","Cavell’s execution angered the world and numerous streets and landmarks were named in her honour, including a street in Hamilton which previously was named Berlin Street."
"7/29/2013","Charles Street","Runs between Hunter Street West and Bold Street.","The street is named after Charles Morrison Durand (1811 to 1905), a local lawyer who was charged and banished from the province for a time for allegedly supporting William Lyon Mackenzie’s rebellion in 1837. Durand died in Toronto.","In his memoirs he wrote: ""I was born on the ninth day of April, 1811, in the rural locality of Hamilton, now consisting of the beautiful city of Hamilton, then only a series of half-cultivated farms, one of which my father owned. It was in April, my favourite month, just as the flowers were springing up in the woods and the birds were commencing to come from the south to greet us with gentle songs and whistlings in the sunny air."""
"2/12/2013","CHARLTON AVENUE","Charlton Avenue runs east-west from Wentworth Street to just west of Dundurn Street.","Benjamin Ernest Charlton (1835 to 1901) was mayor of Hamilton in 1867 and from 1873 to 1874. Prior to this he was an alderman as well as being a teacher and businessman. He founded the Hamilton Vinegar Works, helped establish the Royal Distillery Co. and for a time was president of the Hamilton Street Railway.","Charlton has the distinction of being, in 1874, the first mayor in Hamilton to be elected by popular vote. Before this, the mayor was chosen by aldermen."
"8/3/2013","Chedoke Golf Course","Chedoke Golf Course is located on Aberdeen Avenue in Hamilton.","Chedoke is not only the name of a city-owned golf course, but a street, an expressway, waterfalls, a school, a pool and many businesses use it as well.","What exactly is a Chedoke? Some think it is a native word meaning ""big healing place."" But according to the book Indian Place Names in the Province of Ontario by W.F. Moore, the real story is a little more complicated. He writes that Chedoke is a mispronunciation of the English words ""Seven Oaks, "" a name used by settlers to describe a section of property near Garth Street and Fennell Avenue West that had seven big oak trees."
"8/26/2013","Churchill Park","On Parkside Drive near Marion Avenue and Princess Point.","During the Second World War, on the suggestion of T.B. McQuesten, three leaders of the British Empire were honoured. Westdale Park was renamed Churchill Park after Sir Winston Churchill.","In 1927, the McKittrick Company tried to profit from buying and selling a lot of real estate in Westdale, but due to a recession, it made much less profit than it planned, according to Hamilton Public Library archives. The City of Hamilton bought the land and turned it into Westdale Park. It was renamed Churchill Park in 1945. Churchill Fields Bowling Club opened its first lawn bowling green there in 1958."
"2/23/2013","Clappison’s Corners","Clappison’s Corners is located at the corner of Highway 6 and Highway 5 in Flamborough.","Henry Clappison operated a couple of hotels in what was a thriving stage coach stop in the mid to late 19th century.","As the automobile became more popular through the early decades of the 20th century, the road network expanded including Highway 6, which broke through the escarpment in what came to be known as the Clappison Cut. It ushered in a new era for the community and spelled an end to the horse and buggy community."
"5/18/2013","Claremont Access","The Claremont Access is one of the city’s main Mountain accesses. It runs up the Mountain from Wellington Street to Upper James. Downward, the access feeds onto Victoria Avenue.","The access gets its name from Claremont Park, which was purchased by Isaac Buchanan in the 1850s.","The word Claremont is thought to have been derived from the French words ""clair"" (clear) and ""mont"" (mountain), according to the book Hamilton Street Names, by Margaret Houghton. The park was 42 acres when it was first established, but today is only a small fraction of its original size."
"9/10/2013","Cline Avenue","Cline Avenue is divided into north and south, bisected by Main Street West. It runs from King Street West in Westdale to the Chedoke Creek and Highway 403.","It is named for the Cline family, who had a farm and park in the area in the late 1800s and early 1900s.","George Cline opened Cline's Park around 1885 to take advantage of patrons travelling past his farm on the Hamilton and Dundas Street Railway. His cottage was on what was then called Cline's Lane. It still stands at Cline Avenue South and Westwood Avenue. The park was west of the Camelot Towers apartment building, which was then a picnic area known as Ainslie's Woods. Cline's Park had a dance hall, game fields, merry-go-round and swings."
"2/6/2013","COLQUHOUN PARK","Colquhoun Park is at 20 Leslie Ave. on the west Mountain.","Edward Colquhoun (1844 to 1904) was the 28th mayor of Hamilton, serving 1897 to ’98 and as Conservative MPP for Hamilton West from 1898 to 1902.","Colquhoun also worked as an accountant and bank manager at various times. After being defeated in the 1902 provincial election, he retired from politics."
